prod_smiles,reac_smiles,corrected_template_default_id,dataset,ec_num
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,845,train,"['1.1.1.71', '1.1.1.184', '1.1.1.2', '1.1.1.188', '1.1.1.300', '1.1.1.105', '1.1.1.1', '1.1.1.315']"
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,828,train,"['1.1.1.71', '1.1.1.184', '1.1.1.2', '1.1.1.188', '1.1.1.300', '1.1.1.1', '1.1.1.105', '1.2.1.36', '1.1.1.315', '1.2.1.5']"
CCCC=O,CCCCO,845,train,"['1.1.5.5', '1.1.1.73', '1.1.1.103', '1.1.3.18', '1.1.1.183', '1.1.1.195', '1.1.1.1', '1.1.3.13', '1.1.1.91', '1.1.1.6', '1.1.1.184', '1.1.2.7', '1.1.1.188', '1.1.1.245', '1.1.1.219', '1.1.1.21', '1.1.1.72', '1.1.1.2', '1.1.1.244', '1.1.1.306', '1.1.1.76', '1.1.1.105', '1.1.1.265', '1.1.1.71', '1.1.1.202']"
CCCCO,CCCC=O,828,test,"['1.1.5.5', '1.1.1.73', '1.1.1.183', '1.1.1.195', '1.1.1.191', '1.1.1.1', '1.1.1.91', '1.1.1.6', '1.1.1.184', '1.1.1.188', '1.1.1.245', '1.1.1.219', '1.1.1.21', '1.1.1.72', '1.1.1.2', '1.1.1.244', '1.1.1.76', '1.1.1.105', '1.1.1.265', '1.1.1.71', '1.1.1.202']"
C/C(=C\C=O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,845,train,['1.1.1.1']
C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,C/C(=C\C=O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,828,val,['1.1.1.1']
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,726,train,['1.1.1.1']
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,C[C@]12CCC(=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,773,train,"['1.1.1.270', '1.1.1.145', '1.1.1.112', '1.1.1.1']"
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C[C@]12CCC(=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,773,train,"['1.1.1.145', '1.1.1.1', '1.1.1.270']"
O=Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(CO)cc1,2682,val,"['1.1.1.21', '1.1.1.357', '1.1.1.112', '1.3.1.20', '1.1.1.50', '1.1.1.1', '1.1.1.213']"
O=[N+]([O-])c1ccc(CO)cc1,O=Cc1ccc([N+](=O)[O-])cc1,2740,train,"['1.1.1.21', '1.1.1.357', '1.1.1.112', '1.3.1.20', '1.1.1.50', '1.1.1.1', '1.1.1.213']"
CCCCCCCCCCO,CCCCCCCCCC=O,828,train,"['1.1.1.21', '1.1.1.91', '1.2.1.84', '1.1.1.71', '1.1.1.184', '1.1.1.90', '1.1.1.2', '1.1.1.245', '1.1.1.1']"
CCCCCCCCCC=O,CCCCCCCCCCO,845,train,"['1.1.1.21', '1.1.3.20', '1.1.3.13', '1.1.1.91', '1.1.1.216', '1.1.1.71', '1.1.1.184', '1.1.1.90', '1.1.1.2', '1.1.3.18', '1.1.1.245', '1.1.1.1']"
CCCCCCO,CCCCCC=O,828,train,"['1.1.1.219', '1.1.1.265', '1.1.1.21', '1.1.1.72', '1.1.5.5', '1.1.1.91', '1.1.1.71', '1.1.1.184', '1.1.1.73', '1.1.1.90', '1.1.1.2', '1.1.1.183', '1.1.1.306', '1.1.1.245', '1.1.1.1']"
CCCCCC=O,CCCCCCO,845,train,"['1.1.5.5', '1.1.1.73', '1.1.3.18', '1.1.1.183', '1.1.1.1', '1.1.3.13', '1.1.1.91', '1.1.1.184', '1.1.2.7', '1.1.1.245', '1.1.1.219', '1.1.1.21', '1.1.1.72', '1.1.1.90', '1.1.1.2', '1.1.1.306', '1.1.1.265', '1.1.3.20', '1.1.1.71']"
OCCCc1ccccc1,O=CCCc1ccccc1,828,test,"['1.1.1.195', '1.1.1.1']"
O=CCCc1ccccc1,OCCCc1ccccc1,845,train,"['1.1.1.195', '1.1.1.1']"
CCCCCCCCCO,CCCCCCCCC=O,828,train,"['1.1.1.21', '1.1.1.72', '1.1.1.91', '1.1.1.330', '1.1.1.184', '1.1.1.300', '1.1.1.1']"
CCCCCCCCC=O,CCCCCCCCCO,845,train,"['1.1.1.21', '1.1.1.72', '1.1.1.91', '1.1.1.330', '1.1.1.184', '1.1.3.18', '1.1.1.300', '1.1.1.1']"
CC(O)c1ccccc1,CC(=O)c1ccccc1,1843,train,"['1.1.1.320', '1.1.1.72', '1.1.1.184', '1.1.1.71', '1.1.1.6', '1.1.1.73', '1.1.1.2', '1.1.1.50', '1.1.1.1', '1.1.1.213']"
CC(=O)c1ccccc1,CC(O)c1ccccc1,1740,train,"['1.1.1.320', '1.1.1.72', '1.1.3.13', '1.1.1.184', '1.1.1.71', '1.1.1.6', '1.1.1.73', '1.1.1.2', '1.1.1.50', '1.1.3.18', '1.1.1.1', '1.1.1.213']"
CCC(C)O,CCC(C)=O,858,train,"['1.1.1.268', '1.1.1.184', '1.1.1.71', '1.1.1.6', '1.1.1.80', '1.1.1.73', '1.1.1.2', '1.1.1.4', '1.1.1.269', '1.1.1.202', '1.1.1.245', '1.1.1.1']"
CCC(C)=O,CCC(C)O,650,train,"['1.1.3.13', '1.1.1.268', '1.1.1.184', '1.1.1.71', '1.1.1.6', '1.1.1.80', '1.1.1.73', '1.1.1.2', '1.1.1.4', '1.1.1.202', '1.1.3.18', '1.1.1.269', '1.1.3.30', '1.1.1.76', '1.1.1.245', '1.1.1.1']"
CCCCCC(C)O,CCCCCC(C)=O,858,train,"['1.1.1.184', '1.1.1.71', '1.1.1.2', '1.1.1.183', '1.1.1.1']"
CCCCCC(C)=O,CCCCCC(C)O,650,train,"['1.1.1.184', '1.1.1.71', '1.1.1.2', '1.1.3.18', '1.1.1.183', '1.1.1.1']"
CCCCC(C)O,CCCCC(C)=O,858,train,"['1.1.1.71', '1.1.1.72', '1.1.1.1', '1.1.1.406']"
CCCCC(C)=O,CCCCC(C)O,650,train,"['1.1.1.72', '1.1.1.71', '1.1.3.30', '1.1.3.18', '1.1.1.406', '1.1.1.1']"
OC[C@@H](O)c1ccccc1,O=C(CO)c1ccccc1,756,train,"['1.1.1.184', '1.1.1.4', '1.1.1.14', '1.1.1.1']"
CCCCCCC(C)O,CCCCCCC(C)=O,858,train,"['1.1.1.71', '1.1.1.73', '1.1.1.1']"
CCCCCCC(C)=O,CCCCCCC(C)O,650,train,"['1.1.1.71', '1.1.1.73', '1.1.3.18', '1.1.1.1']"
CCCC(C)O,CCCC(C)=O,858,train,"['1.1.1.184', '1.1.1.71', '1.1.1.80', '1.1.1.2', '1.1.1.76', '1.1.1.245', '1.1.1.1']"
CCCC(C)=O,CCCC(C)O,650,train,"['1.1.3.13', '1.1.1.184', '1.1.1.71', '1.1.1.80', '1.1.1.2', '1.1.3.18', '1.1.3.30', '1.1.1.76', '1.1.1.245', '1.1.1.1']"
CCC(O)CC,CCC(=O)CC,850,train,"['1.1.1.80', '1.1.1.1']"
CCC(=O)CC,CCC(O)CC,648,train,"['1.1.1.80', '1.1.3.18', '1.1.1.1']"
CC(C)O,CC(C)=O,1825,train,"['1.1.1.268', '1.1.1.184', '1.1.1.71', '1.1.1.156', '1.1.1.80', '1.1.1.6', '1.1.1.73', '1.1.1.2', '1.1.1.4', '1.1.1.244', '1.1.1.269', '1.1.1.406', '1.1.1.76', '1.1.1.245', '1.1.1.1']"
CC(C)=O,CC(C)O,1719,train,"['1.1.1.80', '1.1.1.73', '1.1.1.103', '1.1.3.18', '1.1.1.156', '1.1.1.1', '1.1.3.13', '1.1.1.184', '1.1.1.6', '1.1.3.30', '1.1.1.245', '1.1.1.35', '1.1.1.268', '1.1.1.2', '1.1.1.244', '1.1.1.406', '1.1.1.76', '1.1.1.71', '1.1.1.4', '1.1.1.269']"
O=C(O)C(O)c1ccccc1,O=C(O)C(=O)c1ccccc1,879,train,['1.1.1.1']
O=C(O)C(=O)c1ccccc1,O=C(O)C(O)c1ccccc1,697,train,['1.1.1.1']
CCOC(=O)CC(O)C(F)(F)F,CCOC(=O)CC(=O)C(F)(F)F,850,train,['1.1.1.1']
CCOC(=O)CC(=O)C(F)(F)F,CCOC(=O)CC(O)C(F)(F)F,648,train,['1.1.1.1']
CCCCC=O,CCCCCO,845,train,"['1.1.1.265', '1.1.1.21', '1.1.1.72', '1.1.5.5', '1.1.1.91', '1.1.3.13', '1.1.1.71', '1.1.1.184', '1.1.1.73', '1.1.2.7', '1.1.1.2', '1.1.3.18', '1.1.1.306', '1.1.1.202', '1.1.1.245', '1.1.1.1']"
CCCCCO,CCCCC=O,828,train,"['1.1.1.265', '1.1.1.21', '1.1.1.72', '1.1.5.5', '1.1.1.91', '1.1.1.71', '1.1.1.184', '1.1.1.283', '1.1.1.73', '1.1.1.2', '1.1.1.306', '1.1.1.202', '1.1.1.245', '1.1.1.1']"
CCC(O)CO,CCC(=O)CO,850,train,"['1.1.1.6', '1.1.1.156', '1.1.1.1']"
CCC(=O)CO,CCC(O)CO,648,test,"['1.1.1.6', '1.1.1.156', '1.1.3.18', '1.1.1.165', '1.1.1.1']"
CC(O)CO,CC(=O)CO,858,train,"['1.1.1.21', '1.1.1.184', '1.1.1.6', '1.1.1.156', '1.1.1.4', '1.1.1.245', '1.1.1.1']"
CC(=O)CO,CC(O)CO,650,train,"['1.1.1.21', '1.1.1.6', '1.1.1.184', '1.1.1.156', '1.1.1.4', '1.1.3.18', '1.1.1.165', '1.1.1.245', '1.1.1.1']"
O=C1CCN(Cc2ccccc2)C1,OC1CCN(Cc2ccccc2)C1,648,test,['1.1.1.1']
OC1CCN(Cc2ccccc2)C1,O=C1CCN(Cc2ccccc2)C1,850,train,['1.1.1.1']
CC(O)CCc1ccccc1,CC(=O)CCc1ccccc1,858,train,"['1.1.1.71', '1.1.1.80', '1.1.1.1']"
CC(=O)CCc1ccccc1,CC(O)CCc1ccccc1,650,train,"['1.1.1.71', '1.1.1.80', '1.1.1.1']"
CCCCCCC=O,CCCCCCCO,845,train,"['1.1.1.265', '1.1.1.21', '1.1.5.5', '1.1.3.13', '1.1.1.91', '1.1.1.71', '1.1.1.184', '1.1.1.73', '1.1.2.7', '1.1.1.2', '1.1.3.18', '1.1.1.183', '1.1.1.245', '1.1.1.1']"
CCCCCCCO,CCCCCCC=O,828,train,"['1.1.1.265', '1.1.1.21', '1.1.5.5', '1.1.1.91', '1.1.1.71', '1.1.1.184', '1.1.1.283', '1.1.1.73', '1.1.1.2', '1.1.1.183', '1.1.1.245', '1.1.1.1']"
CCOCC=O,CCOCCO,845,train,['1.1.1.1']
CCOCCO,CCOCC=O,828,train,['1.1.1.1']
CCCO,CCC=O,828,test,"['1.1.5.5', '1.1.1.283', '1.1.1.73', '1.1.1.80', '1.1.1.195', '1.1.1.191', '1.1.1.1', '1.1.1.91', '1.1.1.6', '1.1.1.184', '1.1.1.245', '1.1.1.77', '1.1.1.21', '1.1.1.72', '1.1.99.20', '1.1.1.2', '1.1.1.244', '1.1.1.306', '1.1.1.265', '1.1.1.71', '1.1.1.202']"
CC[C@H](C)O,CCC(C)=O,779,train,"['1.1.1.268', '1.1.1.184', '1.1.1.71', '1.1.1.73', '1.1.1.2', '1.1.1.269', '1.1.1.406', '1.1.1.1']"
CCOC(=O)C[C@H](C)O,CCOC(=O)CC(C)=O,779,train,"['1.1.1.184', '1.1.1.283', '1.1.1.73', '1.1.1.149', '1.1.1.280', '1.1.1.2', '1.1.1.274', '1.1.1.346', '1.1.1.1']"
CC(C)CO,CC(C)C=O,828,train,"['1.1.1.21', '1.1.1.72', '1.1.1.2', '1.1.1.245', '1.1.1.1']"
CC(C)C=O,CC(C)CO,845,train,"['1.1.1.21', '1.1.1.72', '1.1.3.13', '1.1.1.2', '1.1.1.245', '1.1.1.1']"
CCC(C)C=O,CCC(C)CO,845,train,"['1.1.1.265', '1.1.1.72', '1.1.3.13', '1.1.1.2', '1.1.1.245', '1.1.1.1']"
CCC(C)CO,CCC(C)C=O,828,train,"['1.1.1.265', '1.1.1.72', '1.1.1.2', '1.1.1.245', '1.1.1.1']"
CC(C)CC=O,CC(C)CCO,845,train,"['1.1.1.265', '1.1.1.72', '1.1.3.13', '1.1.1.184', '1.1.1.283', '1.1.1.2', '1.1.1.1']"
CC(C)CCO,CC(C)CC=O,828,train,"['1.1.1.265', '1.1.1.72', '1.1.1.184', '1.1.1.283', '1.1.1.2', '1.1.1.1']"
COc1ccc(C=O)cc1,COc1ccc(CO)cc1,2682,train,"['1.1.1.265', '1.1.1.72', '1.1.3.7', '1.1.1.91', '1.1.3.47', '1.1.1.184', '1.1.1.71', '1.1.3.9', '1.1.1.90', '1.11.2.1', '1.1.1.2', '1.1.1.195', '1.1.1.1']"
COc1ccc(CO)cc1,COc1ccc(C=O)cc1,2740,train,"['1.1.1.265', '1.1.1.72', '1.1.3.7', '1.1.1.91', '1.1.1.184', '1.1.1.283', '1.1.1.71', '1.1.1.90', '1.1.1.2', '1.1.1.195', '1.1.1.1']"
OCc1ccc(CO)o1,O=Cc1ccc(CO)o1,2740,train,"['1.1.1.307', '1.1.1.265', '1.1.1.1']"
O=Cc1ccc(CO)o1,OCc1ccc(CO)o1,2682,test,"['1.1.1.307', '1.1.1.265', '1.1.1.1']"
OCCO,O=CCO,828,train,"['1.1.1.265', '1.1.1.77', '1.1.1.6', '1.1.1.8', '1.1.1.245', '1.1.1.1']"
O=CCO,OCCO,845,train,"['1.1.1.265', '1.1.1.77', '1.1.1.6', '1.1.1.8', '1.1.1.245', '1.1.1.1']"
CC[C@@H](C)O,CCC(C)=O,736,train,"['1.1.1.268', '1.1.1.184', '1.1.1.73', '1.1.1.2', '1.1.1.269', '1.1.1.406', '1.1.1.1']"
OCc1ccco1,O=Cc1ccco1,2740,train,"['1.1.1.265', '1.1.1.307', '1.1.1.90', '1.1.1.2', '1.1.1.4', '1.1.1.1']"
O=Cc1ccco1,OCc1ccco1,2682,val,"['1.1.1.265', '1.1.1.307', '1.1.1.90', '1.1.1.2', '1.1.1.4', '1.1.1.1']"
CC[C@H](C)C=O,CC[C@H](C)CO,845,train,"['1.1.1.1', '1.1.1.2']"
CC[C@H](C)CO,CC[C@H](C)C=O,828,train,"['1.1.1.1', '1.1.1.2']"
Cc1ccc2ccc3c(C=O)ccc4ccc1c2c43,Cc1ccc2ccc3c(CO)ccc4ccc1c2c43,2682,train,['1.1.1.1']
Cc1ccc2ccc3c(CO)ccc4ccc1c2c43,Cc1ccc2ccc3c(C=O)ccc4ccc1c2c43,2740,test,['1.1.1.1']
Cc1ccc2ccc3ccc(C=O)c4ccc1c2c34,Cc1ccc2ccc3ccc(CO)c4ccc1c2c34,2682,train,['1.1.1.1']
Cc1ccc2ccc3ccc(CO)c4ccc1c2c34,Cc1ccc2ccc3ccc(C=O)c4ccc1c2c34,2740,val,['1.1.1.1']
O=Cc1ccc2ccc3cccc4ccc1c2c34,OCc1ccc2ccc3cccc4ccc1c2c34,2682,train,['1.1.1.1']
OCc1ccc2ccc3cccc4ccc1c2c34,O=Cc1ccc2ccc3cccc4ccc1c2c34,2740,train,['1.1.1.1']
O=Cc1cc2ccc3cccc4ccc(c1)c2c34,OCc1cc2ccc3cccc4ccc(c1)c2c34,2682,train,['1.1.1.1']
OCc1cc2ccc3cccc4ccc(c1)c2c34,O=Cc1cc2ccc3cccc4ccc(c1)c2c34,2740,train,['1.1.1.1']
O=Cc1cc2cccc3ccc4cccc1c4c32,OCc1cc2cccc3ccc4cccc1c4c32,2682,train,['1.1.1.1']
OCc1cc2cccc3ccc4cccc1c4c32,O=Cc1cc2cccc3ccc4cccc1c4c32,2740,train,['1.1.1.1']
Cc1ccc(C=O)cc1C,Cc1ccc(CO)cc1C,2682,train,"['1.1.1.90', '1.1.1.1']"
Cc1ccc(CO)cc1C,Cc1ccc(C=O)cc1C,2740,train,"['1.1.1.90', '1.1.1.1']"
C[C@H]1CCC[C@H](O)C1,C[C@H]1CCCC(=O)C1,773,train,['1.1.1.1']
C[C@H](O)Cc1ccccc1,CC(=O)Cc1ccccc1,779,train,"['1.1.1.1', '1.1.1.2']"
C[C@H](O)CCc1ccccc1,CC(=O)CCc1ccccc1,779,train,"['1.1.1.1', '1.3.1.31', '1.1.1.2']"
CCCCC[C@H](C)O,CCCCCC(C)=O,779,train,"['1.1.1.219', '1.1.1.1']"
CCC[C@H](C)O,CCCC(C)=O,779,train,"['1.1.1.4', '1.1.1.1', '1.1.1.268']"
C=C(C)[C@@H]1CC=C(C=O)CC1,C=C(C)[C@@H]1CC=C(CO)CC1,845,train,"['1.1.1.144', '1.1.1.347', '1.1.1.90', '1.1.1.1']"
C=C(C)[C@@H]1CC=C(CO)CC1,C=C(C)[C@@H]1CC=C(C=O)CC1,828,test,"['1.1.1.90', '1.1.1.1']"
CC(=O)c1ccc(C)cc1,Cc1ccc(C(C)O)cc1,1740,train,"['1.1.1.71', '1.1.1.184', '1.1.1.50', '1.1.1.1', '1.1.1.213']"
Cc1ccc(C(C)O)cc1,CC(=O)c1ccc(C)cc1,1843,val,"['1.1.1.71', '1.1.1.184', '1.1.1.50', '1.1.1.1', '1.1.1.213']"
O=C(CO)c1ccccc1,OCC(O)c1ccccc1,697,train,['1.1.1.1']
OCC(O)c1ccccc1,O=C(CO)c1ccccc1,879,train,['1.1.1.1']
CC1CC(=O)CC(C)C1,CC1CC(C)CC(O)C1,648,train,['1.1.1.1']
CC1CC(C)CC(O)C1,CC1CC(=O)CC(C)C1,850,train,['1.1.1.1']
Nc1cccc(C=O)c1,Nc1cccc(CO)c1,2682,train,"['1.1.1.90', '1.1.1.1']"
Nc1cccc(CO)c1,Nc1cccc(C=O)c1,2740,train,"['1.1.1.90', '1.1.1.1']"
CC(=O)C(C)C,CC(C)CCO,652,train,['1.1.1.1']
CC(C)CCO,CC(=O)C(C)C,812,train,['1.1.1.1']
CCC1CCC(=O)CC1,CCC1CCC(O)CC1,648,test,"['1.1.1.243', '1.1.1.236', '1.1.1.1', '1.1.1.206']"
CCC1CCC(O)CC1,CCC1CCC(=O)CC1,850,train,"['1.1.1.236', '1.1.1.1', '1.1.1.206']"
CC1CCC(=O)CC1,CC1CCC(O)CC1,648,train,"['1.1.1.243', '1.1.1.206', '1.1.1.236', '1.1.1.245', '1.1.1.1']"
CC1CCC(O)CC1,CC1CCC(=O)CC1,850,train,"['1.1.1.236', '1.1.1.245', '1.1.1.1', '1.1.1.206']"
CC(=O)CC(C)O,CC(=O)CC(C)=O,858,train,"['1.1.1.149', '1.1.1.1']"
CC(=O)CC(C)=O,CC(=O)CC(C)O,650,train,"['1.1.3.18', '1.1.1.149', '1.1.1.1', '1.1.3.30']"
CCCCCCCCCCCC=O,CCCCCCCCCCCCO,845,train,"['1.1.1.21', '1.1.1.72', '1.1.3.20', '1.1.3.13', '1.1.1.71', '1.1.1.90', '1.1.1.2', '1.1.1.245', '1.1.1.1']"
CCCCCCCCCCCCO,CCCCCCCCCCCC=O,828,train,"['1.1.1.21', '1.1.1.72', '1.2.1.84', '1.1.1.71', '1.1.1.90', '1.1.1.2', '1.1.1.245', '1.1.1.1']"
CCCCCCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCCCCCCO,845,val,"['1.1.3.20', '1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCCC=O,828,train,"['1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCCO,845,train,"['1.1.3.20', '1.1.3.13', '1.1.1.2', '1.1.1.164', '1.1.1.1']"
CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCC=O,828,train,"['1.1.1.164', '1.6.2.4', '1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,845,train,"['1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,828,train,"['1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCCCCO,845,train,"['1.1.3.20', '1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCC=O,828,train,"['1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCO,845,train,"['1.1.1.21', '1.1.3.20', '1.1.3.13', '1.1.1.71', '1.1.1.2', '1.1.1.1']"
CCCCCCCCCCCCCCO,CCCCCCCCCCCCCC=O,828,train,"['1.1.1.71', '1.1.1.21', '1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,845,test,"['1.1.1.1', '1.1.1.2']"
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,828,train,"['1.1.1.1', '1.1.1.2']"
COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,492,train,"['1.3.5.4', '1.6.5.9', '1.6.5.2', '1.3.5.1', '1.1.5.10', '1.1.99.22', '1.1.5.12', '1.1.5.3', '1.1.5.4', '1.6.5.10', '1.8.1.4', '1.8.1.9', '1.1.1.1']"
COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,492,train,"['1.3.5.4', '1.6.5.9', '1.6.5.2', '1.3.5.1', '1.1.5.10', '1.1.99.22', '1.1.5.3', '1.1.5.4', '1.8.1.4', '1.1.1.1']"
COc1c(O)c(C)c(C/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)c(O)c1OC,COC1=C(OC)C(=O)C(C/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)=C(C)C1=O,492,train,"['1.3.5.4', '1.6.5.9', '1.6.5.2', '1.3.5.1', '1.1.5.10', '1.1.99.22', '1.1.5.12', '1.1.5.3', '1.1.5.4', '1.8.1.4', '1.8.1.9', '1.1.1.1']"
COc1c(O)c(C)c(CC=C(C)C)c(O)c1OC,COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O,492,train,"['1.3.5.4', '1.6.5.9', '1.6.5.2', '1.3.5.1', '1.1.5.10', '1.1.5.13', '1.1.99.22', '1.1.5.12', '1.1.5.3', '1.1.5.4', '1.6.5.10', '1.8.1.4', '1.1.1.1']"
O=CC(F)(F)F,OCC(F)(F)F,845,train,['1.1.1.1']
OCC(F)(F)F,O=CC(F)(F)F,828,train,['1.1.1.1']
